timestamp,utc_time,category,message,flag,scope,sector,message_id
01:02:23.962,2025-05-04T20:08:51,Flag,CLEAR IN TRACK SECTOR 13,CLEAR,Sector,13.0,32
01:02:24.539,2025-05-04T20:08:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,DOUBLE YELLOW,Sector,13.0,33
01:02:25.766,2025-05-04T20:08:52,Flag,CLEAR IN TRACK SECTOR 14,CLEAR,Sector,14.0,34
01:02:28.192,2025-05-04T20:08:55,SafetyCar,VIRTUAL SAFETY CAR ENDING,,,,35
01:02:41.184,2025-05-04T20:09:08,Flag,TRACK CLEAR,CLEAR,Track,,36
01:02:42.061,2025-05-04T20:09:09,Drs,DRS ENABLED,,,,37
01:04:32.632,2025-05-04T20:10:59,Other,TURN 1 INCIDENT INVOLVING CARS 7 (DOO) AND 30 (LAW) NOTED - CAUSING A COLLISION,,,,38
01:06:07.197,2025-05-04T20:12:34,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 7 (DOO) AND 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,39
01:06:13.941,2025-05-04T20:12:41,Other,TURN 2 INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) NOTED,,,,40
01:07:14.474,2025-05-04T20:13:41,Other,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) REVIEWED NO FURTHER INVESTIGATION,,,,41
01:23:13.605,2025-05-04T20:29:40,Other,CAR 55 (SAI) TIME 1:32.915 DELETED - TRACK LIMITS AT TURN 15 LAP 16 16:28:57,,,,42
01:24:45.435,2025-05-04T20:31:12,Other,TURN 15 INCIDENT INVOLVING CAR 55 (SAI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,43
01:26:54.067,2025-05-04T20:33:21,Other,CAR 4 (NOR) TIME 1:34.855 DELETED - TRACK LIMITS AT TURN 11 LAP 17 16:30:10,,,,44
01:26:54.743,2025-05-04T20:33:21,Other,CAR 1 (VER) TIME 1:34.857 DELETED - TRACK LIMITS AT TURN 11 LAP 17 16:30:10,,,,45
01:27:50.381,2025-05-04T20:34:17,Other,TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,46
01:28:41.914,2025-05-04T20:35:09,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CAR 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,47
01:29:02.992,2025-05-04T20:35:30,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,48
01:41:38.124,2025-05-04T20:48:05,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,,,,49
01:43:44.887,2025-05-04T20:50:12,SafetyCar,VIRTUAL SAFETY CAR ENDING,,,,50
01:43:58.057,2025-05-04T20:50:25,Flag,TRACK CLEAR,CLEAR,Track,,51
01:43:58.824,2025-05-04T20:50:25,Drs,DRS ENABLED,,,,52
01:45:43.096,2025-05-04T20:52:10,Other,INCIDENT INVOLVING CAR 22 (TSU) NOTED - SPEEDING IN THE PIT LANE,,,,53
01:45:57.240,2025-05-04T20:52:24,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,,54
01:46:37.473,2025-05-04T20:53:04,Other,CAR 5 (BOR) TIME 1:57.049 DELETED - TRACK LIMITS AT TURN 6 LAP 30 16:51:18,,,,55
01:46:47.875,2025-05-04T20:53:15,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - SPEEDING IN THE PIT LANE,,,,56
01:47:21.188,2025-05-04T20:53:48,Flag,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:53:47,BLUE,Driver,,57
01:48:41.909,2025-05-04T20:55:09,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,,,,58
01:50:04.502,2025-05-04T20:56:31,SafetyCar,VIRTUAL SAFETY CAR ENDING,,,,59
01:50:16.887,2025-05-04T20:56:44,Flag,TRACK CLEAR,CLEAR,Track,,60
01:50:17.580,2025-05-04T20:56:44,Drs,DRS ENABLED,,,,61
01:52:12.412,2025-05-04T20:58:39,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:58:38,BLUE,Driver,,62
01:54:58.462,2025-05-04T21:01:25,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 17:01:25,BLUE,Driver,,63
02:02:03.874,2025-05-04T21:08:31,Other,INCIDENT INVOLVING CAR 10 (GAS) NOTED - YELLOW FLAG INFRINGEMENT,,,,64
02:02:13.541,2025-05-04T21:08:40,Other,INCIDENT INVOLVING CAR 55 (SAI) NOTED - YELLOW FLAG INFRINGEMENT,,,,65
02:07:56.227,2025-05-04T21:14:23,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT,,,,66
02:08:00.582,2025-05-04T21:14:27,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT,,,,67
02:08:35.844,2025-05-04T21:15:03,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:15:02,BLUE,Driver,,68
02:10:07.384,2025-05-04T21:16:34,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:16:34,BLUE,Driver,,69
02:11:36.759,2025-05-04T21:18:03,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:18:03,BLUE,Driver,,70
02:13:37.395,2025-05-04T21:20:04,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:20:04,BLUE,Driver,,71
02:13:46.466,2025-05-04T21:20:13,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:20:13,BLUE,Driver,,72
02:25:36.539,2025-05-04T21:32:03,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 17:32:03,BLUE,Driver,,73
02:26:06.647,2025-05-04T21:32:33,Flag,CHEQUERED FLAG,CHEQUERED,Track,,74
02:28:08.991,2025-05-04T21:34:36,Other,TURN 17 INCIDENT INVOLVING CARS 44 (HAM) AND 55 (SAI) NOTED - CAUSING A COLLISION,,,,75
02:28:23.011,2025-05-04T21:34:50,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 44 (HAM) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION,,,,76
